# Generated: 2026-04-23T19:28:35.6563524-06:00
# Cells: C = entity is the entry-point of the process; W = some Trn writes it; R = some Trn reads it without writing; blank = not touched.
entity,proc_admin_imprimir_bobinas,proc_calidad_carrete_defecto_ww,proc_calidad_consultar_carrete,proc_calidad_inicio_calidad,proc_calidad_reclamosww,proc_db_bobina_view,proc_db_bobina_ww,proc_db_budget_ww,proc_db_carrera_view,proc_db_carrera_ww,proc_db_carrete_ww,proc_db_company_ww,proc_db_consolidated_ww,proc_db_customer_ww,proc_db_document,proc_db_embarque,proc_db_embarque_detalle,proc_db_embarque_pallet,proc_db_embarque_view,proc_db_etiquetado_operador,proc_db_existencia,proc_db_existencia_producto,proc_db_existencia_silo,proc_db_existencia_ww,proc_db_extrusion_interrupcion_ww,proc_db_extrusion_resultado,proc_db_extrusion_ww,proc_db_extrusora_bobina,proc_db_extrusora_mezcladora_ww,proc_db_ftbww,proc_db_interrupcion_view,proc_db_llenado_bobina_interrupcion,proc_db_lote,proc_db_orden_etiquetado,proc_db_order,proc_db_palet_ww,proc_db_prensa,proc_db_prensa_carrera,proc_db_prensa_troquel,proc_db_prensado_bobina,proc_db_prensado_bobina_ww,proc_db_prensado_interrupcion,proc_db_prensado_resultado,proc_db_prensado_ww,proc_db_product,proc_db_producto_terminado_ww,proc_db_remission,proc_db_sales_person_ww,proc_db_silo,proc_db_statement_of_income_ww,proc_db_troquel,proc_db_troquel_ww,proc_db_turno,proc_db_wwconfiguracion,proc_db_wwextrusora,proc_db_wwextrusora_producto,proc_db_wwinventario,proc_db_wwoperador,proc_db_wwprensa_producto,proc_db_wwproducto,proc_db_wwproducto_categoria,proc_downtime_down_time_code_ww,proc_embarques_embarque_wp,proc_embarques_inicio_embarques,proc_embarques_listado_embarques,proc_embarques_listado_ordenes,proc_embarques_listado_remisiones,proc_embarques_notificar_impresion,proc_embarques_ordenes_ww,proc_embarques_products_ww,proc_informes_informes_telerik,proc_informes_total_pallet_por_product_number,proc_printer_sd_bobina_report_main,proc_printer_sd_bobina_report_main_multi,proc_printer_sd_carrete_report_main,proc_printer_sd_carrete_report_main_pcr,proc_printer_sd_palet_report,proc_printer_sd_palet_report_main,proc_printer_sd_rpt_extrusion,proc_printer_sd_rpt_prensado,proc_produccion_bobina_dp,proc_produccion_carrera_dp,proc_produccion_carrete_dp,proc_produccion_dpextrusion_resultado,proc_produccion_dpprensado_bobina_sdt,proc_produccion_dpprensado_resultado,proc_produccion_dpproducto_terminado,proc_produccion_exclusion_del_dia,proc_produccion_extrusora_dp,proc_produccion_generar_bobina_no,proc_produccion_guardar_bobina,proc_produccion_inicio_extrusion,proc_produccion_inicio_inventario,proc_produccion_inicio_prensado,proc_produccion_inicio_produccion,proc_produccion_jornada_laboral,proc_produccion_listar_extrusion,proc_produccion_listar_extrusora,proc_produccion_listar_extrusora_mezcladora,proc_produccion_listar_extrusora_producto,proc_produccion_listar_inventario,proc_produccion_listar_lotes,proc_produccion_listar_operador,proc_produccion_listar_prensa_producto,proc_produccion_listar_prensas,proc_produccion_listar_producto_categoria,proc_produccion_listar_producto_terminado,proc_produccion_listar_productos,proc_produccion_listar_silos,proc_produccion_listar_troquel,proc_produccion_listar_turnos,proc_produccion_obtener_cantidad_bobinas_por_extrusion,proc_produccion_obtener_interrupcion_carrera,proc_produccion_obtener_tipo_material_por_carrete,proc_produccion_prensa_dp,proc_produccion_prensado_del_dia,proc_produccion_reposo_transcurrido,proc_produccion_sdpausar_bobinas,proc_produccion_tipo_carrete_dp,proc_produccion_total_palet_prensado,proc_produccion_turno_dp,proc_produccion_turnos_por_semana_prensas,proc_produccion_vw_analitica_bobina,proc_produccion_vw_analitica_carrete,proc_produccion_vw_analitica_prensado,proc_produccion_vw_carrete_carrera,proc_produccion_vw_trazabilidad,proc_reportes_carrete_en_pallet,proc_reportes_causa_interrupcion_ww,proc_reportes_extrusora_observacion_ww,proc_reportes_inicio_reportes_hc,proc_reportes_menu_reportes_hc,proc_reportes_pallet_en_embarque,proc_reportes_prensa_observacion_ww,proc_reportes_prensado_interrup_en_curso,proc_reportes_reporte_drr,proc_reportes_vw_extrusion_resultado,proc_reportes_vw_orden_etiquetado,proc_reportes_vw_prensado_resultado,proc_root_gamchange_your_password,proc_root_gamwwroles,proc_root_gamwwusers,proc_root_home,proc_root_sdpadd_notification,proc_root_sdpcart_products_list,proc_root_sdpcart_products_remove,proc_root_sec_gamupdate_permissions,proc_sae_ftbytd,proc_sae_inicio_catalogos_sae,proc_sae_inicio_reportes,proc_sae_notificar_fecha_embarque,proc_sae_orders,proc_sae_orders_money,proc_sae_priceww,proc_sae_product_dp,proc_sae_realtime_inventory,proc_seguridad_deshabilitar_operador,proc_seguridad_habilitar_operador,proc_seguridad_inicio_seguridad,proc_web_debugger,proc_web_set_not_success_messages_log,proc_work_with_plus_native_mobile_gamis_auth_by_functionality_key,proc_work_with_plus_native_mobile_sdpproducts_list_dp,proc_work_with_plus_native_mobile_sdpweb_server_session_get,proc_work_with_plus_native_mobile_sdpweb_server_session_set,proc_wwpbase_objects_audit_deleted,proc_wwpbase_objects_dvmessage_get_basic_notification_msg,proc_wwpbase_objects_get_menu_authorized_options,proc_wwpbase_objects_mail_wwp_get_smtpparameters,proc_wwpbase_objects_mail_wwp_mail,proc_wwpbase_objects_mail_wwp_mail_template,proc_wwpbase_objects_mail_wwp_send_mail,proc_wwpbase_objects_notifications_common_wwp_notification_definition,proc_wwpbase_objects_notifications_common_wwp_send_mention_notification,proc_wwpbase_objects_notifications_common_wwp_send_notification,proc_wwpbase_objects_notifications_common_wwp_update_notification_definitions,proc_wwpbase_objects_notifications_common_wwp_visualize_all_notifications,proc_wwpbase_objects_notifications_web_wwp_send_web_notification,proc_wwpbase_objects_notifications_web_wwp_web_client,proc_wwpbase_objects_notifications_web_wwp_web_notification,proc_wwpbase_objects_sec_gamget_advanced_security_wwpfunctionalities,proc_wwpbase_objects_set_wwpcontext,proc_wwpbase_objects_sms_wwp_get_smsparameters,proc_wwpbase_objects_sms_wwp_send_sms,proc_wwpbase_objects_sms_wwp_sms,proc_wwpbase_objects_subscriptions_wwp_subscription,proc_wwpbase_objects_subscriptions_wwp_subscriptions_settings,proc_wwpbase_objects_subscriptions_wwp_subscriptions_settings_by_role,proc_wwpbase_objects_wwp_create_user_extended,proc_wwpbase_objects_wwp_entity,proc_wwpbase_objects_wwp_exists_user_extended,proc_wwpbase_objects_wwp_get_entity_by_name,proc_wwpbase_objects_wwp_get_logged_user_id,proc_wwpbase_objects_wwp_get_logged_user_roles,proc_wwpbase_objects_wwp_get_parameter,proc_wwpbase_objects_wwp_get_user_email,proc_wwpbase_objects_wwp_get_user_full_name,proc_wwpbase_objects_wwp_get_user_phone,proc_wwpbase_objects_wwp_get_users_from_role,proc_wwpbase_objects_wwp_update_user_extended_photo,proc_wwpbase_objects_wwp_user_extended,proc_wwpbase_objects_wwpget_role_name
Audit,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,W,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobina,,,,,,W,W,,R,W,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,W,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,,,,,W,W,,,W,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,W,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrete,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarreteDefecto,,W,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CausaInterrupcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuracion,,,,,,,,,,,,,,,,,,,,,W,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,W,,,,,,,,,W,,W,,,W,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,W,,,,W,,,,,,W,,,,,,W,,,W,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consolidated,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DownTimeCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embarque,,,,,,,,,,,,,,,,C,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
